ID,VERSION,AGENCYID,ISFINAL,XMLNS,NAME.XML_LANG,NAME.TEXT,KEYFAMILYREF.KEYFAMILYID,KEYFAMILYREF.KEYFAMILYAGENCYID,DESCRIPTION.XML_LANG,DESCRIPTION.TEXT
DS-IFS_2020M05,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M05",IFS_2020M05,IMF,,
DS-IFS_2020M06,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M06",IFS_2020M06,IMF,,
DS-IFS_2020M07,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M07",IFS_2020M07,IMF,,
DS-IFS_2020M08,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M08",IFS_2020M08,IMF,,
DS-IFS_2020M09,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M09",IFS_2020M09,IMF,,
DS-IFS_2020M10,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M10",IFS_2020M10,IMF,,
DS-IFS_2020M11,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M11",IFS_2020M11,IMF,,
DS-IFS_2020M12,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2020 M12",IFS_2020M12,IMF,,
DS-IFS_2021M01,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2021 M01",IFS_2021M01,IMF,,
DS-IFS_2021M02,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2021 M02",IFS_2021M02,IMF,,
DS-IFS_2021M03,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2021 M03",IFS_2021M03,IMF,,
DS-IFS_2021M04,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2021 M04",IFS_2021M04,IMF,,
DS-IFS_2021M05,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), 2021 M05",IFS_2021M05,IMF,,
DS-IFS_DISCONTINUED,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,"International Financial Statistics (IFS), Discontinued Series",IFS_DISCONTINUED,IMF,,
DS-MFS,1.0,IMF,true,http://www.SDMX.org/resources/SDMXML/schemas/v2_0/structure,en,Monetary and Financial Statistics (MFS),MFS,IMF,en,MFS data from IFS External Publication - for EDD MFS Bulk Download
